code,charge_type,open_charge,close_today_charge,close_yestoday_charge,multiple,margin_rate
SHFE.rb2210,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2211,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2301,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2302,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2303,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2304,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2305,2,0.0001,0.0001,0.0001,10,0.14
SHFE.rb2306,2,0.0001,0.0001,0.0001,10,0.14
SHFE.ag2212,2,0.00005,0.00005,0.00005,15,0.19
SHFE.ag2301,2,0.00005,0.00005,0.00005,15,0.19
SHFE.ag2305,2,0.00005,0.00005,0.00005,15,0.19
SHFE.ag2306,2,0.00005,0.00005,0.00005,15,0.19
CZCE.SR211,1,3,3,3,10,0.08
CZCE.SR303,1,3,3,3,10,0.08
